timestamp;evento;preavviso;finestra;richiesta_kw;MI_baseline_kw;MI_pod_kw;MI_flex_kw;MI_leva_spaziale_kw;MI_leva_differimento_kw;MI_leva_clima_kw;MI_rapporto;RM_baseline_kw;RM_pod_kw;RM_ricevuto_kw;NA_pod_kw;N4_pod_kw
2026-06-15T00:00;;0;0;0.0;231.0;233.7;-2.8;0.0;0.0;0.0;;179.5;179.1;0.0;142.8;116.4
2026-06-15T00:15;;0;0;0.0;230.1;232.1;-2.0;0.0;0.0;0.0;;178.5;178.2;0.0;142.7;115.8
2026-06-15T00:30;;0;0;0.0;229.3;230.1;-0.8;0.0;0.0;0.0;;177.5;177.4;0.0;142.6;115.2
2026-06-15T00:45;;0;0;0.0;228.7;228.4;0.3;0.0;0.0;0.0;;176.7;176.6;0.0;142.6;114.6
2026-06-15T01:00;;0;0;0.0;228.2;227.4;0.8;0.0;0.0;0.0;;175.9;175.8;0.0;142.6;114.1
2026-06-15T01:15;;0;0;0.0;227.9;227.4;0.5;0.0;0.0;0.0;;175.2;175.1;0.0;142.7;113.7
2026-06-15T01:30;;0;0;0.0;227.8;228.3;-0.5;0.0;0.0;0.0;;174.5;174.8;0.0;142.8;113.5
2026-06-15T01:45;;0;0;0.0;227.8;229.4;-1.6;0.0;0.0;0.0;;174.0;174.7;0.0;142.9;113.5
2026-06-15T02:00;;0;0;0.0;227.9;230.2;-2.3;0.0;0.0;0.0;;173.6;174.8;0.0;143.0;113.6
2026-06-15T02:15;;0;0;0.0;228.2;230.3;-2.2;0.0;0.0;0.0;;173.2;174.7;0.0;143.3;113.7
2026-06-15T02:30;;0;0;0.0;228.6;230.0;-1.4;0.0;0.0;0.0;;173.0;174.5;0.0;143.7;113.9
2026-06-15T02:45;;0;0;0.0;229.2;229.6;-0.4;0.0;0.0;0.0;;172.9;173.9;0.0;144.2;114.2
2026-06-15T03:00;;0;0;0.0;229.9;229.5;0.4;0.0;0.0;0.0;;172.9;173.2;0.0;144.6;114.6
2026-06-15T03:15;;0;0;0.0;230.8;230.1;0.7;0.0;0.0;0.0;;173.0;172.6;0.0;144.6;115.0
2026-06-15T03:30;;0;0;0.0;231.7;231.1;0.6;0.0;0.0;0.0;;173.2;172.4;0.0;144.2;115.4
2026-06-15T03:45;;0;0;0.0;232.8;232.4;0.4;0.0;0.0;0.0;;173.5;172.4;0.0;143.6;115.6
2026-06-15T04:00;;0;0;0.0;233.9;233.7;0.2;0.0;0.0;0.0;;173.8;172.6;0.0;143.0;115.8
2026-06-15T04:15;;0;0;0.0;235.1;235.0;0.1;0.0;0.0;0.0;;174.3;172.7;0.0;142.5;116.0
2026-06-15T04:30;;0;0;0.0;236.4;236.1;0.3;0.0;0.0;0.0;;174.9;172.8;0.0;142.5;116.1
2026-06-15T04:45;;0;0;0.0;237.8;237.3;0.5;0.0;0.0;0.0;;175.6;173.1;0.0;142.8;116.3
2026-06-15T05:00;;0;0;0.0;239.1;238.6;0.5;0.0;0.0;0.0;;176.3;173.6;0.0;143.4;116.5
2026-06-15T05:15;;0;0;0.0;240.5;240.2;0.3;0.0;0.0;0.0;;177.2;174.5;0.0;144.3;116.9
2026-06-15T05:30;;0;0;0.0;241.9;242.0;-0.2;0.0;0.0;0.0;;178.2;175.6;0.0;145.2;117.5
2026-06-15T05:45;;0;0;0.0;243.3;243.8;-0.5;0.0;0.0;0.0;;179.2;177.0;0.0;145.9;118.5
2026-06-15T06:00;;0;0;0.0;244.7;245.2;-0.5;0.0;0.0;0.0;;180.4;178.6;0.0;146.4;119.6
2026-06-15T06:15;;0;0;0.0;246.0;246.2;-0.2;0.0;0.0;0.0;;181.7;180.4;0.0;146.8;120.5
2026-06-15T06:30;;0;0;0.0;247.4;247.1;0.3;0.0;0.0;0.0;;183.1;182.3;0.0;146.9;121.3
2026-06-15T06:45;;0;0;0.0;248.8;248.3;0.5;0.0;0.0;0.0;;184.6;184.1;0.0;147.0;122.0
2026-06-15T07:00;;0;0;0.0;250.1;250.0;0.1;0.0;0.0;0.0;;186.1;185.8;0.0;147.0;122.8
2026-06-15T07:15;;0;0;0.0;251.4;252.2;-0.8;0.0;0.0;0.0;;187.8;187.4;0.0;147.4;123.7
2026-06-15T07:30;;0;0;0.0;252.7;254.5;-1.8;0.0;0.0;0.0;;189.5;189.2;0.0;148.2;124.5
2026-06-15T07:45;;0;0;0.0;254.0;256.6;-2.5;0.0;0.0;0.0;;191.2;191.1;0.0;149.3;125.2
2026-06-15T08:00;;0;0;0.0;255.3;258.1;-2.8;0.0;0.0;0.0;;193.0;193.3;0.0;150.6;125.9
2026-06-15T08:15;;0;0;0.0;256.6;259.2;-2.6;0.0;0.0;0.0;;194.8;195.6;0.0;151.8;126.6
2026-06-15T08:30;;0;0;0.0;257.9;260.1;-2.2;0.0;0.0;0.0;;196.6;197.7;0.0;153.1;127.5
2026-06-15T08:45;;0;0;0.0;259.1;260.9;-1.8;0.0;0.0;0.0;;198.4;199.5;0.0;154.5;128.3
2026-06-15T09:00;;0;0;0.0;260.4;261.7;-1.4;0.0;0.0;0.0;;200.2;201.1;0.0;156.0;129.0
2026-06-15T09:15;;0;0;0.0;261.6;262.4;-0.8;0.0;0.0;0.0;;202.0;202.8;0.0;157.3;129.6
2026-06-15T09:30;;0;0;0.0;262.8;262.9;-0.1;0.0;0.0;0.0;;203.7;204.6;0.0;158.4;130.0
2026-06-15T09:45;;0;0;0.0;264.0;263.4;0.6;0.0;0.0;0.0;;205.4;206.4;0.0;159.1;130.3
2026-06-15T10:00;;0;0;0.0;265.2;264.1;1.1;0.0;0.0;0.0;;206.9;208.1;0.0;159.9;130.9
2026-06-15T10:15;;0;0;0.0;266.4;265.2;1.3;0.0;0.0;0.0;;208.5;209.4;0.0;160.7;131.5
2026-06-15T10:30;;0;0;0.0;267.6;266.4;1.2;0.0;0.0;0.0;;209.9;210.5;0.0;161.9;132.2
2026-06-15T10:45;;0;0;0.0;268.8;267.7;1.1;0.0;0.0;0.0;;211.3;211.6;0.0;163.2;132.7
2026-06-15T11:00;;0;0;0.0;269.9;268.9;1.0;0.0;0.0;0.0;;212.6;212.7;0.0;164.4;133.1
2026-06-15T11:15;;0;0;0.0;271.0;270.2;0.8;0.0;0.0;0.0;;213.8;213.7;0.0;165.4;133.4
2026-06-15T11:30;;0;0;0.0;272.1;271.5;0.5;0.0;0.0;0.0;;214.9;214.7;0.0;166.1;133.7
2026-06-15T11:45;;0;0;0.0;273.1;273.3;-0.1;0.0;0.0;0.0;;215.9;215.7;0.0;166.5;134.1
2026-06-15T12:00;;0;0;0.0;274.1;275.2;-1.1;0.0;0.0;0.0;;216.9;216.7;0.0;166.8;134.7
2026-06-15T12:15;;0;0;0.0;275.1;277.0;-1.9;0.0;0.0;0.0;;217.7;217.7;0.0;167.0;135.3
2026-06-15T12:30;;0;0;0.0;276.1;278.4;-2.4;0.0;0.0;0.0;;218.5;218.3;0.0;167.1;136.0
2026-06-15T12:45;;0;0;0.0;276.9;279.3;-2.3;0.0;0.0;0.0;;219.1;218.7;0.0;167.2;136.5
2026-06-15T13:00;;0;0;0.0;277.8;279.7;-2.0;0.0;0.0;0.0;;219.7;219.1;0.0;167.2;136.8
2026-06-15T13:15;;0;0;0.0;278.5;280.0;-1.4;0.0;0.0;0.0;;220.2;219.6;0.0;167.3;136.8
2026-06-15T13:30;;0;0;0.0;279.2;280.0;-0.8;0.0;0.0;0.0;;220.6;220.2;0.0;167.5;136.8
